"File","Pattern","Line","Original","Fixed","ContextBefore","ContextAfter"
"src\server.ts","Object Literal Colon in Function Call","112","runOCR(filePath: string)","runOCR(filePath, string)","──────────────────────────────── */

async function runOCR(filePath: string): Promise<string> {","    // Use python OCR service
    const pythonProcess = spawn('python3', ['python-services/ocr_tesseract.py', filePath], {
      cwd: process.cwd()"
"src\server.ts","Object Literal Colon in Function Call","146","generateWithFallback(text: string, options: { maxTokens?: number; temperature?: number } = {})","generateWithFallback(text, string, options: { maxTokens?: number; temperature?: number } = {})","}

async function generateWithFallback(text: string, options: { maxTokens?: number; temperature?: number } = {}): Promise<string> {","
  // Try TensorRT-LLM first (fastest)
  try {"
"src\server.ts","Object Literal Colon in Function Call","199","handleRAGUpload(req: any, res: any)","handleRAGUpload(req, any, res: any)","}

async function handleRAGUpload(req: any, res: any) {","    // Parse multipart form data
    const boundary = req.headers['content-type']?.split('boundary=')[1];
    if (!boundary) {"
"src\server.ts","Object Literal Colon in Function Call","291","handleRAGSearch(req: any, res: any)","handleRAGSearch(req, any, res: any)","}

async function handleRAGSearch(req: any, res: any) {","    let body = '';
    for await (const chunk of req) {
      body += chunk;"
"src\server.ts","Object Literal Colon in Function Call","320","handleRAGEmbed(req: any, res: any)","handleRAGEmbed(req, any, res: any)","}

async function handleRAGEmbed(req: any, res: any) {","    let body = '';
    for await (const chunk of req) {
      body += chunk;"
"src\server.ts","Object Literal Colon in Function Call","360","handleAgentGenerate(req: any, res: any)","handleAgentGenerate(req, any, res: any)","}

async function handleAgentGenerate(req: any, res: any) {","    let body = '';
    for await (const chunk of req) {
      body += chunk;"
"src\server.ts","Object Literal Colon in Function Call","390","runOCR(filePath: string)","runOCR(filePath, string)","    res.end(JSON.stringify({ error: (error as Error).message }));
  }
async function runOCR(filePath: string): Promise<string> {","    // Use python OCR service
    const pythonProcess = spawn('python3', ['python-services/ocr_tesseract.py', filePath], {
      cwd: process.cwd()"
"src\worker.ts","Object Literal Colon in Function Call","23","wasmDot(a: Float32Array, b: Float32Array)","wasmDot(a, Float32Array, b: Float32Array)","await loadEngines();

function wasmDot(a: Float32Array, b: Float32Array): number {","  const bytes = n * 4;
  const ptrA = wasm._malloc(bytes);
  const ptrB = wasm._malloc(bytes);"
"src\worker.ts","Object Literal Colon in Function Call","36","gpuDot(a: number[], b: number[])","gpuDot(a, number[], b: number[])","}

function gpuDot(a: number[], b: number[]): number {","    return x[this.thread.x] * y[this.thread.x];
  }).setOutput([a.length]);
  const partial = kernel(a, b) as number[];"
"src\worker.ts","Object Literal Colon in Function Call","37","function(this: any, x: number[], y: number[])","function(this, any, x: number[], y: number[])","
function gpuDot(a: number[], b: number[]): number {
  const kernel = (gpu as any).createKernel(function(this: any, x: number[], y: number[]) {","  }).setOutput([a.length]);
  const partial = kernel(a, b) as number[];
  return partial.reduce((acc, v) => acc + v, 0);"
"src\worker.ts","Object Literal Colon in Function Call","45","searchSharedIndex(indexName: string, queryEmbedding: Float32Array, topK: number)","searchSharedIndex(indexName, string, queryEmbedding: Float32Array, topK: number)","
// Shared memory operations
function searchSharedIndex(indexName: string, queryEmbedding: Float32Array, topK: number): Array<{ index: number; similarity: number }> {","  if (!buffer) {
    throw new Error(`Shared index '${indexName}' not found`);
  }"
"src\agents\gemmaAgent.ts","Object Literal Colon in Function Call","45","runGemmaAgent(prompt: string)","runGemmaAgent(prompt, string)","}

export async function runGemmaAgent(prompt: string): Promise<AgentResponse> {","    { role: 'system', content: SYSTEM_PROMPT },
    { role: 'user', content: prompt }
  ];"
